file;type;title;x_axis_title;y_axis_title;description
1;AreaGraph;Sales by Month;Year 2002;Value $;
2;AreaGraph;Baseline Projections of Deaths by Cause Group, World, 1990-2020;;Deaths (millions);
3;AreaGraph;Company Financial Analysis Exxon Mobil Corporation Cash Flow Components Q4 2001 through Q3 2002;;$Millions;
4;AreaGraph;Project XYZ - Feature Flow;Date;Total Features;
5;AreaGraph;Company Performance;;;
6;AreaGraph;Olympic Medals for all Time;Countries;Medals;
7;AreaGraph;Total Pacific salmon Temperrature anomaly;;THOUSANDS OF TONES DEGREES CELSIUS;
8;AreaGraph;TRAFFIC ACCIDENTS Number of Persons Involved in Traffic Accidents by Mode of Transportation;;;
9;BarGraph;Scores by Team per Season;Season;Points;
10;BarGraph;Sales by Quater;Year 2001;Value $;
11;BarGraph;Sales by Month;Sales Value;Month;
12;BarGraph;Favorite Types of Music;Number of Students;Types of Music;
13;BarGraph;Current Top 10 Servers;Number of Connections per Server;Servers;
14;BarGraph;Olympic Medals for all Time;Countries;Medals;
15;BarGraph;Olympic Medals for all Time;Countries;Medals;
16;BarGraph;;number of students;minutes;
17;BarGraph;Unit Sales by Promotion Media Type;;;
18;BarGraph;Mean Monthly Temperatures in Scotland (2004);Main Temperature (°C);;
19;BarGraph;;Stock prices for Rival restaurant chains;;
20;BoxPlot;;Experiment No.;Speed of light (km/s minus 299,000);
21;BoxPlot;Iris sepal width by species;;sepal width (cm);
22;BoxPlot;Tooth Growth;Suppliment and Dose;;
23;BoxPlot;City Mileage for Vehicle Types;Vehicle Type;MPG (City);
24;BoxPlot;Categorized by Mold Cavity;Cavity;Diameter;
25;BoxPlot;Box Plot for Airline Delays;;Delay in Minutes;
26;BoxPlot;;Sex;Bone Density Measurment (g/square cm);
27;BoxPlot;Cholesterol Distribution by Weight Class;Cholesterol;Weight Status;
28;BoxPlot;Statistical Style;Diastolic;Weight Status;
29;BubbleChart;The Chicago Deposit Market Is Large, Highly Fragmented, and Home to Many Insured Institutions;Herfindahl Index (measure of market's concentration of deposits);Institutions Headquartered in Each MSA;
30;BubbleChart;Product Comparison Chart;Range (miles);Capacitry (tons);
